category_类别ID,commentCount_评论量,itemNumId_商品NID,item_id_商品ID,itemurl_商品链接,location_商家地址,nick_商家名称,originalPrice_原价,pic_path_图片,price_售价,sold_月销量,title_名称,userId_商家ID
50011746,4,576668703256,576668703256,//detail.m.tmall.com/item.htm?id=576668703256&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 宁波,gxg男鞋旗舰店,399.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2784862899/O1CN015SASQc1XHmfXerw38_!!0-item_pic.jpg_60x60.jpg,179.00,2,GXG男鞋拖鞋男鞋子男潮鞋2018秋季新款潮流休闲凉拖鞋TMH715110,2784862899
50011746,583,564923222341,564923222341,//detail.m.tmall.com/item.htm?id=564923222341&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 宁波,gxg男鞋旗舰店,499.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2784862899/TB1.tdtnOOYBuNjSsD4XXbSkFXa_!!0-item_pic.jpg_60x60.jpg,209.00,5,GXG男鞋男士凉鞋2018新款凉拖夏季拖鞋沙滩鞋韩版潮流鞋182850911,2784862899
50012051,145251,558037281069,558037281069,//detail.m.tmall.com/item.htm?id=558037281069&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 绍兴,tzldn旗舰店,88.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2121402114/O1CN012iES3q1RUFl4rxJaz_!!2121402114.jpg_60x60.jpg,33.00,98738,买一送一情侣棉拖鞋女冬季包跟2018新款居家用室内家居毛拖男冬天,2121402114
50025847,155,581967721177,581967721177,//a.m.taobao.com/i581967721177.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 台州,莎莎爱吃小板栗,59.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i4/2996075312/O1CN01EmtozK1p6wNRG8mmK_!!2996075312.jpg_60x60.jpg,16.80,717,保暖棉拖鞋女冬天一男一女情侣居家居室内厚底蝴蝶结防滑地板男士,2996075312
50025847,100289,570700070404,570700070404,//a.m.taobao.com/i570700070404.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,广东 广州,a_华华华华华儿,28.00,http://g.search1.alicdn.com/img/bao/uploaded/i4/i1/2904988761/TB1kB8Dvk9WBuNjSspeXXaz5VXa_!!0-item_pic.jpg_60x60.jpg,7.80,4102,拖鞋男士夏季潮2018新款室内防滑软底家居女家用情侣居家浴室凉拖,2904988761
50012051,70992,572694128777,572694128777,//detail.m.tmall.com/item.htm?id=572694128777&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 宁波,希维尔家居专营店,68.00,http://g.search1.alicdn.com/img/bao/uploaded/i4/i4/2720243470/O1CN011bVIoxILB73qYu8_!!2720243470.jpg_60x60.jpg,36.80,86390,买一送一情侣居家棉拖鞋女厚底韩版家用潮冬天可爱保暖冬季男室内,2720243470
50012051,37963,575782079466,575782079466,//detail.m.tmall.com/item.htm?id=575782079466&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,上海,左逸家居专营店,78.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/2102608800/O1CN012EsRr19SvXg3Brs_!!0-item_pic.jpg_60x60.jpg,26.90,56573,男士棉拖鞋冬季大码厚底室内保暖防滑家居家用包跟托鞋情侣女冬天,2102608800
50011746,1807,579277364736,579277364736,//a.m.taobao.com/i579277364736.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,广东 揭阳,足够魅力鞋业,56.00,http://g.search1.alicdn.com/img/bao/uploaded/i4/i2/2494788380/O1CN012Bm5Uvdl3K7Jg6N_!!2494788380.jpg_60x60.jpg,19.80,5471,韩版居家防滑塑料情侣一字拖,2494788380
50012349,24505,575555209645,575555209645,//detail.m.tmall.com/item.htm?id=575555209645&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 金华,小蹦豆旗舰店,69.80,http://g.search1.alicdn.com/img/bao/uploaded/i4/i3/2208961778/O1CN011P0MflIj6C1eWrd_!!2208961778.jpg_60x60.jpg,21.80,38222,儿童棉拖鞋冬女可爱防滑男童宝宝保暖毛毛拖鞋包跟冬季女童室内秋,2208961778
50011746,11164,577139964350,577139964350,//a.m.taobao.com/i577139964350.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,广东 揭阳,水上漂鞋业有限公司,87.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2581835680/O1CN011rpU6ySMTYCkNPs_!!2581835680.jpg_60x60.jpg,11.80,15452,韩版时尚居家防滑防臭男女情侣一字拖,2581835680
50011746,239598,556614439736,556614439736,//detail.m.tmall.com/item.htm?id=556614439736&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,福建 泉州,地途旗舰店,39.80,http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/2077060003/TB1q4awSFXXXXXTXVXXXXXXXXXX_!!0-item_pic.jpg_60x60.jpg,19.90,14572,地途人字拖男士防滑个性休闲沙滩鞋,2077060003
50025847,976360,574844384885,574844384885,//a.m.taobao.com/i574844384885.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 金华,喜客多2008,11.70,http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/18139021/O1CN012GVfNUxyrbQcvOn_!!18139021.jpg_60x60.jpg,6.80,303045,棉拖鞋女厚底冬季可爱家用居家情侣室内保暖棉拖防滑包跟男托家居,18139021
50012349,53521,557688721578,557688721578,//a.m.taobao.com/i557688721578.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,上海,tb1503639_2011,78.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/723148755/O1CN01g7IHnI2EXq2ErIgTh_!!0-item_pic.jpg_60x60.jpg,25.00,23091,亲子拖鞋冬季迪士尼儿童棉拖鞋防滑保暖软底男童女童宝宝拖鞋卡通,723148755
50011746,61258,567944893208,567944893208,//detail.m.tmall.com/item.htm?id=567944893208&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,福建 泉州,宠素男鞋旗舰店,48.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/3518562323/TB2DUPjm_tYBeNjy1XdXXXXyVXa_!!3518562323.jpg_60x60.jpg,29.80,12551,时尚韩版软底沙滩厚底防滑一字拖,3518562323
50025847,1139793,576084258174,576084258174,//a.m.taobao.com/i576084258174.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 金华,changchangtt,7.80,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/277627577/O1CN0125qJSwxvtjnz78n_!!277627577.jpg_60x60.jpg,6.80,389862,棉拖鞋冬天女厚底拖鞋可爱室内居家居情侣棉鞋韩版保暖防滑月子鞋,277627577
50011746,9954,573414063272,573414063272,//a.m.taobao.com/i573414063272.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,广东 深圳,华南拖鞋批发,39.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i3/3075106901/TB2x4IMC.R1BeNjy0FmXXb0wVXa_!!3075106901.jpg_60x60.jpg,13.90,14108,塑料夏季软底情侣轻便居家男士一字拖,3075106901
50012349,8955,575873411254,575873411254,//detail.m.tmall.com/item.htm?id=575873411254&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 金华,闪娇旗舰店,60.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i4/3486222157/TB2ikyTp5MnBKNjSZFzXXc_qVXa_!!3486222157.jpg_60x60.jpg,23.80,16569,汪汪队儿童棉拖男冬季可爱防滑室内厚底居家居卡通中童宝宝拖鞋秋,3486222157
50025847,121803,554357682893,554357682893,//detail.m.tmall.com/item.htm?id=554357682893&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,福建 福州,靓蒂芬旗舰店,28.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/3261692164/O1CN011Rr9YEofaaaVFKl_!!3261692164.jpg_60x60.jpg,7.90,47420,居家拖鞋女夏季室内厚底情侣男家居拖洗澡防滑浴室软底家用凉拖鞋,3261692164
50012051,35452,561873098127,561873098127,//detail.m.tmall.com/item.htm?id=561873098127&abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 台州,萱宜阁旗舰店,88.00,http://g.search.alicdn.com/img/bao/uploaded/i4/i2/705886785/TB2VcL8ewnH8KJjSspcXXb3QFXa_!!705886785.jpg_60x60.jpg,39.99,37367,[买一送一]防水棉拖鞋冬季男包跟保暖厚底室内皮面家居棉鞋女冬天,705886785
50012349,24288,577660371830,577660371830,//a.m.taobao.com/i577660371830.htm?abtest=18&rn=dd023f25ac0fee9cad7b63ae28319454&sid=6d6069d565bdfb37fd4ed5ef5992ed98,浙江 金华,林林林87,88.00,http://g.search2.alicdn.com/img/bao/uploaded/i4/i2/104738783/O1CN012Ekf6URqwYCuNqP_!!104738783.jpg_60x60.jpg,17.80,18068,女童家居鞋儿童棉拖鞋冬季宝宝棉鞋男童亲子包跟小孩室内鞋,104738783
